Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
003-010-00016,Lata Colaboracion 3500,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00017,Lata Colaboracion  Kriollo,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00019,Lata Colaboracion Nuema Amazonia,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00020,Lata Colaboracion Nuema Sierra,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00021,Lata Colaboracion Quitu Andes,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00022,Lata Colaboracion Quitu Paramo,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00023,Lata Colaboracion Nuema Costa Insular,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00026,Lata Digestive Blend,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00027,Lata Delta Night,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00028,Lata Colaboracion Ikaro,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00029,Lata Colaboracion Quitu Linea Ecuatorial,uni,  -   ,"  2,00 ","  2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00033,Lata Moon Cycle,uni,  -   ,"  2,00 ",  -   ,"  2,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-010-00036,Lata Hawaiian Colada,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00040,Lata Colaboracion Quitu Amazonia,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00001,Lata X 10 Earl Grey,uni,  -   ,"  23,00 ","  23,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00002,Lata X 10 Berry Berry,uni,  -   ,"  39,00 ","  39,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00003,Lata X 10 Strawberry Green Tea,uni,  -   ,"  32,00 ","  32,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00004,Lata X 10 Green Tea,uni,  -   ,"  21,00 ","  21,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00005,Lata X 10 Chamomile,uni,  -   ,"  29,00 ","  29,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00006,Lata X 10 Lemon Ginger,uni,  -   ,"  34,00 ","  34,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-001-00008,Lata X15 Cosmic Blends,uni,  -   ,"  23,00 ","  23,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-014-00001,Caja De Acetato,uni,"  6.568,00 ",  -   ,  -   ,"  6.568,00 ",  -   ,  -   ,"  6.668,00 ",  -   ,"  6.668,00 ","  -100,00 ",SOBRANTE
003-014-00002,Caja Regalo Tippytea,uni,"  39,00 ",  -   ,"  20,00 ","  19,00 ",  -   ,"  19,00 ",  -   ,  -   ,"  19,00 ",  -   ,SIN DIFERENCIA
003-014-00003,Funda Pequeña Café Shopping Bag,uni,"  2.821,00 ",  -   ,"  271,00 ","  2.550,00 ",  -   ,"  2.225,00 ",  -   ,  -   ,"  2.225,00 ","  325,00 ",FALTANTE
003-017-00007,Doypack Te Ansiedad,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-00008,Doypack Te Para Bajar De Peso,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-00009,Doypack Te Para Dolor De Articulaciones,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-001-00001,Doy Pack Green Tea,uni,  -   ,"  6,00 ","  6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-001-00002,Doy Pack Earl Grey,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-001-00003,Doy Pack Chamomile,uni,  -   ,"  27,00 ","  26,00 ","  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1,00 ",FALTANTE
003-017-001-00004,Doy Pack Lemon Ginger,uni,  -   ,"  37,00 ","  37,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-001-00005,Doy Pack Strawberry,uni,  -   ,"  22,00 ","  22,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-017-001-00006,Doy Pack Berry Berry,uni,  -   ,"  29,00 ","  29,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-00013,Cajita 20 Bolsita Te Negro,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-00014,Cajita 20 Bolsita Valeriana,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-00015,Cajita 20 Bolsita Toronjil,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-00016,Cajita 20 Bolsita Adelgazante,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00001,Aromatica Manzanilla,uni,  -   ,"  28,00 ","  28,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00002,Aromatica Manzanilla & Miel,uni,  -   ,"  15,00 ","  15,00 ",  -   ,  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ","  -2,00 ",SOBRANTE
003-018-001-00003,Aromatica Hierbaluisa,uni,  -   ,"  9,00 ","  9,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00004,Aromatica Cedron,uni,  -   ,"  13,00 ","  13,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00005,Aromatica Menta,uni,  -   ,"  26,00 ","  26,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00006,Aromatica Hierbabuena,uni,  -   ,"  18,00 ","  18,00 ",  -   ,  -   ,"  1,00 ",  -   ,  -   ,"  1,00 ","  -1,00 ",SOBRANTE
003-018-001-00007,Aromatica Toronjil,uni,  -   ,"  10,00 ","  10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00008,Aromatica Guayusa,uni,"  3,00 ","  10,00 ","  13,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-018-001-00009,Aromatica Anis,uni,  -   ,"  4,00 ","  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-019-00009,Tippytea Te Negro/Limon 300ml,uni,"  -10,00 ","  9,17 ","  30,00 ","  -30,83 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -30,83 ",SOBRANTE
003-019-00010,Syrups Rosas,ml,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-019-00011,Syrups Chicle,ml,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-019-00012,Syrups Vainilla,ml,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-019-00013,Syrups Durazno,ml,  -   ,  -   ,"  3,00 ","  -3,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -3,00 ",SOBRANTE
003-019-00014,Botellas 750ml Jarabes,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-019-00015,Syrups Menta,ml,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-019-002-00001,Botella 300 Ml Lemon Ginger,uni,"  462,00 ","  696,00 ","  374,00 ","  784,00 ",  -   ,  -   ,"  422,00 ",  -   ,"  422,00 ","  362,00 ",FALTANTE
003-019-002-00002,Botella 300 Ml Jamaica & Berries,uni,"  361,00 ","  696,00 ","  696,00 ","  361,00 ",  -   ,  -   ,"  204,00 ",  -   ,"  204,00 ","  157,00 ",FALTANTE
003-019-002-00005,Botella 300ml  Te Blanco & Rosas,uni,"  328,00 ","  348,00 ","  146,00 ","  530,00 ",  -   ,  -   ,"  482,00 ",  -   ,"  482,00 ","  48,00 ",FALTANTE
003-019-002-00007,Botella 300 Ml Te Negro & Limon,uni,"  11,00 ","  1.212,00 ","  422,00 ","  801,00 ",  -   ,  -   ,"  503,00 ",  -   ,"  503,00 ","  298,00 ",FALTANTE
003-019-002-00008,Botella 300 Ml Rooibos & Mango,uni,"  258,00 ","  12,00 ","  168,00 ","  102,00 ",  -   ,  -   ,"  214,00 ",  -   ,"  214,00 ","  -112,00 ",SOBRANTE
003-019-002-00009,Jarabe De Rosas 500ml,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00003,Funda Matcha Grado Superior 50gr,uni,  -   ,"  46,00 ","  46,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00004,Matcha Wakamurasaki,20gr, uni ,  -   ,"  8,00 ","  6,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ","  4,00 ",FALTANTE
003-020-00005,Matcha Ujinoko 20gr,uni,  -   ,"  8,00 ","  6,00 ","  2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,00 ",FALTANTE
003-020-00006,Matcha Yutaka 20gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00007,Matcha Kiwami  20 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00008,Matcha Pink 50gr L,uni,"  1,00 ","  10,00 ","  11,00 ",  -   ,  -   ,  -   ,  -   ,"  1,00 ","  1,00 ","  -1,00 ",SOBRANTE
003-020-00009,Matcha Golden 50gr L,uni,  -   ,"  11,00 ","  11,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00013,Matcha Golden - 15 Fdas X 300gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00014,Matcha Pink - 15 Fdas X 300gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00015,Matcha Culinario - 15 Fdas X 300gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00016,Purple Taro Latte 50 Gramos L,uni,  -   ,"  13,00 ","  17,00 ","  -4,00 ",  -   ,"  1,00 ",  -   ,  -   ,"  1,00 ","  -5,00 ",SOBRANTE
003-020-00017,Matcha Mango 100gr L,uni,  -   ,"  6,00 ","  6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00018,Lata Matcha Grado Superior 30gr,uni,  -   ,"  10,00 ","  10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00019,Matcha Culinario,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00020,Matcha Kyoto Bi 20 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00021,Matcha Kyoto Rin 20gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  135,00 ","  135,00 ","  -135,00 ",SOBRANTE
003-020-00022,Matcha Ujinoko 10 Gr,uni,  -   ,"  10,00 ","  8,00 ","  2,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-020-00023,Matcha Wakamurasaki 10g,uni,  -   ,"  7,00 ","  5,00 ","  2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,00 ",FALTANTE
003-020-00024,"Matcha Samidori 1,0 10 Gr",uni,  -   ,"  10,00 ","  8,00 ","  2,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-020-00025,"Matcha Samidori 1,0 20 Gr",uni,  -   ,"  7,00 ","  6,00 ","  1,00 ",  -   ,"  1,00 ",  -   ,  -   ,"  1,00 ",  -   ,SIN DIFERENCIA
003-020-00026,"Matcha Samidori 2,0 10 Gr",uni,  -   ,"  10,00 ","  7,00 ","  3,00 ",  -   ,"  4,00 ",  -   ,  -   ,"  4,00 ","  -1,00 ",SOBRANTE
003-020-00027,"Matcha Samidori 2,0 20 Gr",uni,  -   ,"  6,00 ","  6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00028,"Matcha Samidori 3,0 10 Gr",uni,  -   ,"  10,00 ","  8,00 ","  2,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-020-00029,"Matcha Samidori 3,0 20 Gr",uni,  -   ,"  6,00 ","  6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-020-00030,"Matcha Okumidori 1,0 10 Gr",uni,  -   ,"  10,00 ","  9,00 ","  1,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ","  -1,00 ",SOBRANTE
003-020-00031,"Matcha Okumidori 1,0 20 Gr",uni,  -   ,"  7,00 ","  6,00 ","  1,00 ",  -   ,"  1,00 ",  -   ,  -   ,"  1,00 ",  -   ,SIN DIFERENCIA
003-020-00032,"Matcha Okumidori 2,0 10 Gr",uni,  -   ,"  10,00 ","  9,00 ","  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1,00 ",FALTANTE
003-020-00033,"Matcha Okumidori 2,0 20 Gr",uni,  -   ,"  8,00 ","  6,00 ","  2,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-020-00034,"Matcha Okumidori 3,0 10 Gr",uni,  -   ,"  10,00 ","  5,00 ","  5,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ","  3,00 ",FALTANTE
003-020-00035,"Matcha Okumidori 3,0 20 Gr",uni,  -   ,"  8,00 ","  6,00 ","  2,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-020-00036,"Matcha Yabukita 1,0 10 Gr",uni,  -   ,"  9,00 ","  6,00 ","  3,00 ",  -   ,"  1,00 ",  -   ,  -   ,"  1,00 ","  2,00 ",FALTANTE
003-020-00037,"Matcha Yabukita 1,0 20 Gr",uni,  -   ,"  8,00 ","  6,00 ","  2,00 ",  -   ,"  1,00 ",  -   ,  -   ,"  1,00 ","  1,00 ",FALTANTE
003-020-00038,"Matcha Yabukita 2,0 10 Gr",uni,  -   ,"  8,00 ","  9,00 ","  -1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -1,00 ",SOBRANTE
003-020-00039,"Matcha Yabukita 2,0 20 Gr",uni,  -   ,"  7,00 ","  6,00 ","  1,00 ",  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ","  -1,00 ",SOBRANTE
003-021-00007,Mystic Petal Sacha Blends,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00008,Lemon Splash Sacha Blends,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00009,Sacha Blend Minty Mist,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00010,Purple Rain Sacha Blends,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00011,Orange Sunset Sacha Blends,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00013,Minty Mist Fórmula Ecuador.,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00014,Te De Especialidad X10 Piramide,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00015,Lata Piramide X10 Blend Natural Vitality,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00016,Piramide The Vert 3gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00017,Piramide The Blanc 3gr,uni,  -   ,  -   ,"  45,00 ","  -45,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -45,00 ",SOBRANTE
003-021-00018,Piramide Oolong 3gr,uni,  -   ,"  20,00 ","  20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00019,Piramide Pu-Erh 3gr,uni,  -   ,"  20,00 ","  20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00020,Piramide Earl Grey 3gr,uni,  -   ,"  25,00 ","  25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00021,Piramide Ophir 3gr,uni,"  8,00 ",  -   ,  -   ,"  8,00 ",  -   ,  -   ,"  14,00 ",  -   ,"  14,00 ","  -6,00 ",SOBRANTE
003-021-00022,Piramide Angel Demon 3gr,uni,"  9,00 ","  65,00 ","  65,00 ","  9,00 ",  -   ,  -   ,"  9,00 ",  -   ,"  9,00 ",  -   ,SIN DIFERENCIA
003-021-00023,Piramide The Les Contraires 3gr,uni,"  139,00 ","  20,00 ","  41,00 ","  118,00 ",  -   ,  -   ,"  138,00 ",  -   ,"  138,00 ","  -20,00 ",SOBRANTE
003-021-00024,Piramide The Au Coeur De Paris 3gr,uni,"  7,00 ","  35,00 ","  35,00 ","  7,00 ",  -   ,  -   ,"  7,00 ",  -   ,"  7,00 ",  -   ,SIN DIFERENCIA
003-021-00025,Piramide The Les Jardins De La Reine 3gr,uni,"  41,00 ","  100,00 ","  140,00 ","  1,00 ",  -   ,  -   ,"  20,00 ",  -   ,"  20,00 ","  -19,00 ",SOBRANTE
003-021-00026,Piramide Infusion Miss Elisa 3 Gr,uni,"  12,00 ",  -   ,  -   ,"  12,00 ",  -   ,  -   ,"  18,00 ",  -   ,"  18,00 ","  -6,00 ",SOBRANTE
003-021-00027,Piramide Infusion Mademoiselle 3gr,uni,"  27,00 ",  -   ,  -   ,"  27,00 ",  -   ,  -   ,"  83,00 ",  -   ,"  83,00 ","  -56,00 ",SOBRANTE
003-021-00028,Piramide Infusion Coquelicot 3gr,uni,"  200,00 ",  -   ,  -   ,"  200,00 ",  -   ,  -   ,"  160,00 ",  -   ,"  160,00 ","  40,00 ",FALTANTE
003-021-00029,Piramide Infusion Tar Madarina Ver,uni,"  19,00 ",  -   ,  -   ,"  19,00 ",  -   ,  -   ,"  51,00 ",  -   ,"  51,00 ","  -32,00 ",SOBRANTE
003-021-00030,Lata Piramides The Ophir,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00031,Lata Piramides The Angel Demon,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00032,Lata Piramides The Les Contraires,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00033,Lata Piramides The Au Coeur De Paris,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00034,Lata Piramides The Les Jardins De La Reine,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00035,Lata Piramides Infusion Miss Elisa,uni,  -   ,  -   ,"  4,00 ","  -4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -4,00 ",SOBRANTE
003-021-00036,Lata Piramides Infusion Mademoiselle,uni,  -   ,  -   ,"  4,00 ","  -4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -4,00 ",SOBRANTE
003-021-00037,Lata Piramides Infusion Coquelicot,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00038,Lata Piramides Infusion Tar Mandarina Ver,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00039,Piramide The Negro 3gr,uni,  -   ,  -   ,"  25,00 ","  -25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -25,00 ",SOBRANTE
003-021-00040,Piramide Te Ansiedad 2gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00041,Piramide Te Para Bajar De Peso 2gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00042,Piramide Te Para Dolor De Articulaciones 2gr,uni,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,"  5,00 ",  -   ,SIN DIFERENCIA
003-021-00043,Lata Piramide Legacy,uni,"  2,00 ","  18,00 ","  38,00 ","  -18,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -18,00 ",SOBRANTE
003-021-00044,Lata X15 Piramides Pumkin L,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00045,Lata X10 Piramides Blend Lum,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00046,Latas Navidenas  Nuit De Noel,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00047,Piramide Navidenas Nuit De Noel,uni,"  98,00 ",  -   ,  -   ,"  98,00 ",  -   ,  -   ,  -   ,"  56,00 ","  56,00 ","  42,00 ",FALTANTE
003-021-00048,Empacado De Pad Y Funda,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00050,Lata Piramides X15 Dia De La Madre,uni,  -   ,"  10,00 ","  10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00058,Lata Pumkin Spice  X 10,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00060,Lata X15 Piramides Blends,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00061,Piramides Berry Berry,uni,"  1.267,00 ","  390,00 ","  1.442,00 ","  215,00 ",  -   ,  -   ,  -   ,"  312,00 ","  312,00 ","  -97,00 ",SOBRANTE
003-021-00062,Piramides Bingoblueberry,uni,"  18,00 ","  20,00 ","  70,00 ","  -32,00 ",  -   ,  -   ,"  18,00 ",  -   ,"  18,00 ","  -50,00 ",SOBRANTE
003-021-00063,Piramides Black Peach,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00064,Piramides Casablanca,uni,"  18,00 ","  55,00 ","  55,00 ","  18,00 ",  -   ,  -   ,"  21,00 ",  -   ,"  21,00 ","  -3,00 ",SOBRANTE
003-021-00065,Piramides Cedron,uni,"  4,00 ","  60,00 ",  -   ,"  64,00 ",  -   ,  -   ,  -   ,"  14,00 ","  14,00 ","  50,00 ",FALTANTE
003-021-00066,Piramides Cherry Rose,uni,  -   ,"  45,00 ","  45,00 ",  -   ,  -   ,  -   ,"  148,00 ","  37,00 ","  185,00 ","  -185,00 ",SOBRANTE
003-021-00067,Piramides Chocolate Mint,uni,"  23,00 ",  -   ,  -   ,"  23,00 ",  -   ,  -   ,"  33,00 ",  -   ,"  33,00 ","  -10,00 ",SOBRANTE
003-021-00068,Piramides Cranberry Apple,uni,"  25,00 ",  -   ,  -   ,"  25,00 ",  -   ,  -   ,"  25,00 ",  -   ,"  25,00 ",  -   ,SIN DIFERENCIA
003-021-00069,Piramides Detox Local,uni,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,"  5,00 ",  -   ,SIN DIFERENCIA
